Run,SpecifySystem,DeploySystem,DesignHardware,PrototypeHardware,TestHardware,ManufactureHardware,DesignSoftware,ImproveSoftware,ReleaseSoftware,DesignDocumentation,DesignTraining,PrepareCertification,TrainOperators,FinalizeCertification,Total duration at mid_gate,Total duration,Label
388,6.8,5.1,9.5,4.3,1.3,8.8,12.7,8.7,8.3,4.9,4.3,6.2,6.3,11.9,49.92,98.92,0
194,6.4,4.7,8.5,4.7,1.2,8.5,13.3,8.0,8.3,4.4,4.3,7.1,6.2,11.3,49.8,96.76,0
699,8.6,5.5,9.6,6.6,2.1,8.5,12.9,9.3,8.8,5.8,5.2,9.3,6.3,13.6,60.04,111.86,0
828,7.7,6.4,10.5,6.7,1.3,9.4,15.4,9.0,8.7,6.5,4.2,8.3,7.1,13.3,60.55,114.42,0
527,6.3,5.4,9.6,5.3,1.8,9.2,15.2,8.6,8.3,5.5,4.2,7.5,6.8,13.3,55.38,106.99,0
333,7.4,5.6,9.2,4.8,1.8,8.9,15.1,8.5,8.9,5.3,4.6,7.8,6.3,13.0,55.96,107.24,0
840,6.4,5.4,8.6,4.2,1.4,8.7,14.6,8.7,8.3,5.1,4.6,7.4,6.6,10.5,52.37,100.64,0
766,7.7,6.3,9.3,6.3,2.4,9.4,15.1,8.8,9.2,6.6,4.5,9.2,7.2,15.5,61.24,117.59,0
702,8.0,6.6,9.6,5.5,2.2,10.5,14.3,8.2,8.6,6.6,5.3,8.2,7.0,14.4,59.75,114.97,0
831,8.5,6.1,10.8,7.4,2.0,11.1,17.2,9.5,9.7,7.1,5.1,10.0,7.2,16.4,68.08,127.96,1
870,9.7,5.8,11.2,6.2,2.5,9.7,14.8,9.4,9.5,5.7,4.9,9.4,7.1,19.4,64.39,125.26,1
548,9.8,6.0,10.3,4.6,2.9,11.4,13.1,8.6,8.8,5.8,4.4,11.4,7.4,15.8,62.24,120.2,1
690,9.2,5.1,10.9,4.3,2.4,9.4,17.3,9.4,8.9,7.3,5.7,10.2,7.5,17.5,67.26,125.02,1
599,7.1,4.8,9.1,4.3,1.3,9.0,14.4,8.4,8.5,5.1,4.7,8.0,6.4,12.9,53.93,103.91,0
436,7.3,6.3,9.0,5.8,1.4,9.7,15.5,8.9,9.1,4.7,5.0,7.6,7.1,10.7,56.36,108.22,0
67,8.5,5.7,10.5,5.6,1.9,9.0,13.9,8.2,8.8,5.7,5.1,9.5,6.8,12.9,60.65,111.92,0
583,8.9,6.8,10.9,6.8,1.2,10.9,17.8,9.8,8.9,5.2,4.3,8.1,6.7,18.2,63.11,124.55,1
643,7.7,6.0,9.8,6.1,2.0,10.5,16.7,8.4,8.7,4.4,4.7,9.0,7.1,11.6,60.41,112.65,0
18,8.5,6.5,10.1,6.3,1.9,10.6,13.2,9.1,8.6,6.4,4.5,9.0,6.7,14.1,59.95,115.5,0
161,6.6,4.8,8.4,4.4,1.4,8.7,12.8,8.3,8.5,4.8,4.4,6.8,6.1,11.0,49.56,96.88,0
908,7.8,5.8,8.9,5.5,1.0,9.3,12.6,8.6,8.9,5.3,4.4,8.0,6.8,13.0,53.66,105.91,0
155,8.6,6.1,9.6,5.2,2.4,11.1,16.5,9.6,9.5,5.2,5.0,9.6,6.7,11.5,62.15,116.49,0
981,8.4,6.4,10.4,5.5,1.4,9.5,16.7,9.1,8.7,4.8,5.2,9.0,6.8,13.2,61.4,115.15,0
769,8.3,5.3,10.2,5.8,2.2,10.4,14.9,8.5,9.2,6.4,5.3,8.6,6.7,12.3,61.7,114.06,0
710,7.0,4.4,8.5,4.9,1.1,9.1,13.9,8.5,8.2,4.5,4.5,7.6,6.3,13.0,51.95,101.37,0
22,8.8,4.5,10.5,4.3,1.7,9.0,17.4,8.7,8.5,5.5,5.3,8.4,7.0,16.5,61.88,116.02,0
469,8.0,5.8,9.8,5.7,1.7,10.2,13.8,8.7,8.5,6.2,4.8,7.7,6.8,15.1,57.75,112.83,0
11,9.0,6.1,8.7,6.6,1.9,8.8,18.2,8.8,9.6,6.3,4.8,10.5,6.8,14.6,65.83,120.66,1
806,7.1,4.9,10.0,5.7,2.0,9.5,14.0,8.4,8.8,5.6,4.5,9.0,6.9,14.5,57.92,110.98,0
585,8.6,5.7,8.6,5.0,2.3,9.7,15.1,9.5,9.5,5.4,4.6,8.0,7.5,14.3,57.62,113.81,0
329,6.8,4.6,8.8,4.4,1.2,8.1,13.6,8.2,8.3,4.2,4.2,6.2,6.4,11.7,49.34,96.62,0
763,9.3,6.8,11.0,6.4,2.7,9.0,18.9,9.4,9.6,6.4,5.1,9.3,7.5,16.6,69.09,128.09,1
970,6.1,4.1,8.1,4.1,1.0,8.1,12.1,8.0,8.0,4.1,4.0,6.1,6.0,10.2,45.48,89.92,0
594,8.0,4.6,8.7,5.1,2.3,10.1,14.9,9.2,9.1,7.0,5.1,8.8,7.6,13.8,59.9,114.22,0
112,8.2,5.3,10.1,5.4,1.9,9.7,14.0,8.9,9.1,4.7,4.8,6.7,6.8,15.0,55.85,110.75,0
463,8.7,6.5,10.6,5.9,2.4,10.5,17.9,8.6,8.9,7.0,5.2,9.4,7.4,12.1,67.16,121.14,1
497,8.4,6.8,11.1,6.3,1.7,10.3,17.3,9.1,8.3,6.1,5.4,10.7,7.0,18.3,66.87,126.58,1
912,8.3,6.4,10.5,6.7,1.5,9.2,17.6,8.5,8.5,6.1,5.0,7.9,6.9,14.0,63.5,116.97,0
895,9.7,7.7,9.6,7.0,2.8,11.2,15.4,8.8,9.3,7.0,5.7,8.2,7.0,19.0,65.33,128.41,1
491,8.2,6.1,10.1,5.8,1.6,10.2,13.6,8.7,9.2,5.7,4.2,8.3,7.1,14.3,57.39,112.88,0
58,8.4,4.7,10.6,5.9,1.7,10.3,17.5,9.1,9.6,7.0,5.3,10.7,7.0,14.7,67.14,122.51,1
20,9.2,5.7,11.0,6.2,1.5,9.7,15.8,9.6,8.3,5.6,4.7,9.2,7.0,16.4,63.09,119.74,0
508,8.2,5.8,9.4,6.5,2.1,10.4,17.8,8.9,8.9,6.6,5.0,10.2,6.8,17.0,65.82,123.64,1
506,8.4,5.0,10.1,6.1,1.9,10.2,16.3,9.0,8.7,5.8,4.9,8.0,7.3,15.3,61.31,116.85,0
188,6.3,4.6,8.2,4.5,1.3,8.7,13.5,8.4,8.3,4.3,4.1,6.6,6.2,11.3,48.77,96.21,0
833,7.1,6.4,8.8,6.1,2.6,10.6,14.9,8.9,8.3,6.9,5.2,10.4,7.3,17.3,62.07,120.71,1
177,8.9,6.6,10.5,5.4,2.8,9.6,17.7,9.5,9.7,7.3,4.4,10.7,6.8,12.6,67.8,122.64,1
68,7.0,4.8,8.8,4.6,1.7,9.3,14.1,8.4,8.4,5.2,4.4,7.4,6.6,11.8,53.22,102.62,0
838,7.5,6.3,11.1,4.3,1.5,8.8,14.3,8.6,8.2,6.5,5.1,9.4,6.9,15.2,59.66,113.72,0
500,6.7,4.8,9.1,5.1,1.2,8.9,13.9,8.4,8.4,4.9,4.3,6.6,6.6,12.2,51.86,101.2,0
331,9.2,4.8,8.3,5.2,2.2,11.4,16.4,8.8,9.2,7.3,4.5,11.5,7.3,18.4,64.61,124.54,1
600,7.7,6.5,10.6,4.6,2.0,9.4,15.0,8.8,8.9,6.7,4.4,9.9,6.8,14.9,60.91,116.24,0
410,7.4,6.8,11.2,6.1,1.6,8.5,18.4,8.7,8.9,6.1,5.8,10.6,7.0,18.6,67.34,126.01,1
278,6.7,4.6,9.3,4.6,1.4,8.8,14.5,8.6,8.3,4.7,4.4,7.9,6.5,13.0,53.66,103.47,0
926,7.8,4.5,9.0,5.2,1.4,9.4,15.6,8.5,8.9,6.0,4.8,8.7,6.8,14.5,58.45,111.09,0
97,9.5,6.6,10.2,7.3,2.3,11.1,16.0,8.4,9.5,7.5,5.7,10.7,7.5,18.3,69.23,130.59,1
15,8.7,6.7,10.0,4.8,2.2,9.8,14.0,8.9,8.8,6.2,4.9,10.2,6.7,14.7,61.03,116.62,0
95,6.6,4.8,8.1,4.3,1.1,8.5,13.1,8.2,8.4,4.8,4.2,7.0,6.3,10.9,49.37,96.4,0
368,6.8,6.3,10.6,6.7,1.2,9.7,16.2,8.6,8.6,5.6,5.3,8.3,6.4,16.4,60.66,116.58,0
186,6.8,4.8,10.6,7.2,2.1,9.5,17.8,9.2,8.3,6.3,4.9,9.8,6.6,17.8,65.41,121.73,1
827,8.0,5.4,8.6,5.9,1.7,9.3,14.4,8.3,9.0,5.7,5.0,8.6,6.2,14.7,58.02,111.02,0
118,7.9,5.9,9.3,5.5,1.9,9.7,13.9,8.3,9.0,4.1,5.1,9.0,6.9,14.0,56.6,110.41,0
525,7.5,5.4,10.2,5.1,1.7,10.1,16.6,9.1,8.9,5.4,5.0,8.3,6.7,15.0,59.81,114.98,0
590,9.4,5.2,11.1,7.3,2.8,11.0,18.0,9.4,9.5,4.5,4.9,11.4,7.7,15.9,69.31,128.14,1
365,7.5,6.7,10.9,6.8,2.5,11.3,15.6,9.3,9.4,7.4,5.6,9.6,7.5,15.5,65.88,125.68,1
60,6.5,5.8,10.3,5.2,2.2,10.4,16.4,8.4,8.8,5.1,4.8,7.0,6.7,14.8,57.4,112.33,0
138,7.7,4.4,10.1,6.2,1.8,10.3,16.3,9.1,8.6,5.5,4.9,9.1,6.5,13.9,61.55,114.41,0
92,10.0,8.0,9.7,7.1,2.1,11.5,19.6,9.6,8.7,5.1,5.8,6.7,7.7,17.9,66.1,129.47,1
476,7.3,5.4,9.3,4.6,1.9,9.0,15.3,8.7,8.3,5.5,4.7,8.3,6.5,14.0,56.89,108.85,0
964,7.6,5.5,10.1,5.9,2.0,9.1,14.1,9.0,9.1,5.3,5.0,8.5,7.1,14.1,58.43,112.35,0
910,7.6,4.4,8.7,4.9,1.8,9.3,14.3,8.4,8.5,4.6,4.7,8.4,6.7,13.5,54.94,105.71,0
886,9.6,6.2,11.5,6.8,2.8,10.3,19.6,9.5,9.9,6.9,5.6,7.3,7.7,17.7,70.13,131.51,1
248,6.4,4.3,8.9,4.6,1.3,8.9,13.4,8.2,8.2,4.8,4.4,7.1,6.3,11.6,50.83,98.21,0
700,8.4,7.1,10.8,7.8,2.9,11.0,19.3,9.2,9.5,7.0,5.5,11.3,7.6,15.4,72.99,132.77,1
877,7.6,5.3,9.2,5.5,1.8,9.6,14.3,8.8,8.1,4.1,4.6,7.6,6.4,14.4,54.82,107.46,0
231,9.0,5.6,10.6,6.8,2.4,9.5,17.0,8.9,9.6,5.7,5.3,10.8,7.2,18.3,67.44,126.6,1
551,7.4,5.1,8.2,4.7,1.7,9.4,14.7,8.7,8.7,5.2,4.7,7.2,6.6,10.7,53.89,103.04,0
906,6.6,4.4,9.7,5.2,1.6,10.1,15.8,9.1,8.7,4.4,5.1,7.0,7.3,17.3,55.46,112.29,0
758,6.5,4.5,8.5,4.6,1.4,8.7,12.7,8.3,8.3,4.4,4.3,6.9,6.3,11.4,49.3,96.72,0
786,7.1,4.7,8.8,4.8,1.5,8.4,12.3,8.3,8.5,5.0,4.5,6.7,6.5,11.0,50.69,98.02,0
841,6.6,4.1,9.0,5.1,1.5,8.9,14.2,8.4,8.5,5.1,4.3,7.3,6.4,11.5,53.05,100.92,0
556,6.9,5.0,10.7,5.6,2.9,10.6,15.0,9.8,9.7,5.5,5.4,6.8,7.5,18.9,58.75,120.33,1
602,6.8,4.5,9.0,5.1,1.6,9.1,14.7,8.5,8.5,5.2,4.3,7.7,6.4,13.0,54.35,104.26,0
707,8.1,4.8,10.0,6.2,2.2,9.4,15.9,9.2,8.9,5.0,4.8,7.8,7.0,15.5,60.02,114.75,0
104,7.7,6.2,10.5,5.0,2.3,9.6,15.1,9.1,9.1,6.1,4.5,8.2,7.2,15.7,59.45,116.42,0
262,6.4,5.9,9.6,5.4,1.8,9.9,17.1,8.3,9.2,5.8,4.4,8.6,7.2,15.3,59.01,114.83,0
879,7.2,4.8,8.5,4.8,1.3,9.2,13.7,8.5,8.5,5.2,4.5,7.7,6.5,10.3,52.81,100.69,0
323,8.4,5.4,10.3,6.7,2.3,10.0,13.5,8.8,8.8,6.4,5.2,9.1,7.0,12.9,61.86,114.72,0
536,7.4,4.7,10.6,6.3,2.2,10.7,15.7,8.6,8.9,6.2,5.1,8.7,7.2,14.5,62.14,116.76,0
263,6.9,5.7,10.2,6.0,2.1,10.7,13.2,9.2,9.3,4.2,5.2,7.0,6.9,15.8,54.86,112.52,0
397,6.2,7.8,10.4,7.0,2.7,11.2,14.0,8.4,9.8,6.4,5.1,11.6,6.4,17.5,63.43,124.63,1
223,8.6,6.4,9.8,6.5,1.6,10.3,15.9,9.3,9.0,6.2,4.3,6.3,6.5,16.2,59.2,116.95,0
531,7.3,6.9,9.0,7.3,1.8,9.9,16.3,9.7,9.6,5.8,5.4,9.1,6.9,14.2,62.03,119.2,0
498,7.7,4.2,9.1,5.9,1.8,9.2,15.3,8.4,8.5,6.4,4.9,9.3,6.7,11.9,60.51,109.42,0
218,8.6,6.6,9.7,4.7,2.1,9.1,16.3,8.7,9.3,6.7,5.3,9.8,7.3,14.0,63.18,118.03,0
88,9.5,7.7,11.0,5.5,1.9,9.1,18.6,9.3,9.7,6.4,4.5,8.9,6.9,12.4,66.36,121.52,1
98,6.9,4.6,8.8,4.7,1.6,9.2,14.1,8.2,8.5,4.3,4.5,7.6,6.5,12.6,52.41,101.93,0
538,8.7,7.1,11.0,7.0,1.2,10.9,18.5,9.4,8.9,7.1,5.4,8.6,7.2,16.9,67.52,127.88,1
794,8.5,7.2,11.3,6.6,2.2,10.8,14.0,9.6,8.7,6.9,5.0,9.1,7.2,18.3,63.68,125.47,1
899,8.9,7.1,10.1,5.6,2.0,9.5,13.3,9.1,9.7,7.1,5.4,8.4,7.2,18.7,60.8,122.18,1
255,7.0,6.3,9.5,5.6,1.7,8.2,17.0,9.1,9.2,5.9,5.2,7.4,7.1,15.1,59.41,114.4,0
72,6.7,5.0,8.1,4.8,1.3,8.9,14.2,8.5,8.5,4.2,4.6,6.7,6.4,12.7,50.5,100.5,0
360,7.5,4.9,9.1,4.5,1.5,8.8,14.4,8.7,8.7,5.5,4.7,7.7,6.6,13.0,54.85,105.64,0
210,7.9,7.1,8.9,7.2,2.8,10.9,15.4,9.7,8.6,7.4,5.3,8.7,7.3,14.7,63.56,121.93,1
675,6.9,4.3,8.4,4.5,1.1,8.9,13.7,8.4,8.1,4.8,4.2,6.2,6.4,11.6,49.77,97.51,0
708,7.7,5.7,10.9,5.1,1.4,10.9,14.6,8.8,8.3,6.8,5.0,9.8,7.1,14.7,61.42,117.0,0
424,8.1,4.5,9.6,5.6,1.5,10.1,17.2,8.8,8.5,6.1,5.2,9.0,7.0,15.9,62.36,117.16,0
429,6.1,4.1,8.2,4.1,1.1,8.2,12.3,8.1,8.0,4.2,4.1,6.0,6.1,10.4,46.08,90.92,0
372,8.6,7.8,11.8,6.1,2.2,11.7,18.9,9.6,9.2,7.7,4.9,11.0,7.4,17.6,71.21,134.43,1
85,6.8,5.7,9.4,6.5,1.6,10.4,14.6,9.0,8.8,6.4,5.2,6.7,6.5,11.9,57.21,109.46,0
515,8.8,7.0,10.7,6.8,1.3,10.1,16.3,8.8,9.4,7.0,4.9,9.1,7.6,15.2,64.99,123.04,1
274,7.3,7.0,11.4,5.4,2.5,9.8,16.9,9.1,9.6,7.7,5.3,7.7,7.0,17.8,64.13,124.44,1
49,7.5,5.4,9.1,5.4,1.7,9.4,14.5,8.3,8.5,4.9,4.7,6.8,6.6,13.5,54.6,106.32,0
348,8.5,5.5,10.1,7.2,1.7,11.3,18.4,9.7,8.8,7.3,5.6,11.0,6.6,18.3,69.87,129.99,1
514,7.7,5.8,8.8,5.6,1.7,9.2,13.1,8.8,8.5,5.7,4.5,6.5,6.7,12.2,53.63,104.74,0
659,6.5,7.7,11.4,5.7,2.2,9.3,17.8,9.8,8.7,5.4,5.4,9.8,7.4,13.4,64.19,120.45,1
800,6.9,5.8,9.6,4.9,2.3,10.3,14.7,9.2,8.9,5.1,5.1,9.3,7.2,16.5,57.93,115.84,0
587,8.1,5.1,10.1,5.5,1.4,8.8,14.9,9.1,8.2,6.2,4.3,8.9,6.7,15.4,59.41,112.78,0
282,7.5,6.5,10.8,6.1,1.6,9.6,14.4,9.0,9.5,6.9,4.6,7.5,7.3,15.2,59.35,116.48,0
477,8.8,4.8,8.9,4.8,2.3,9.5,16.6,8.9,8.9,5.4,5.1,8.7,7.3,15.7,60.62,115.71,0
371,9.1,6.8,10.2,5.0,1.6,11.2,16.8,8.1,8.7,6.5,5.2,10.2,6.9,16.9,64.73,123.43,1
793,8.4,5.3,9.2,6.3,1.5,10.0,16.9,8.8,9.0,6.7,4.8,9.2,7.2,14.3,62.99,117.49,0
432,6.7,4.1,8.2,4.2,1.3,8.6,12.8,8.3,8.3,4.3,4.3,7.0,6.3,11.1,48.63,95.33,0
591,8.2,6.1,10.7,4.9,1.8,9.4,18.1,8.5,9.2,5.3,5.5,11.3,7.6,18.3,65.71,124.79,1
353,6.6,4.6,8.8,4.9,1.4,8.4,12.9,8.2,8.4,4.8,4.4,6.3,6.3,10.6,50.1,96.8,0
36,6.8,6.0,9.1,7.9,1.4,10.0,15.3,9.7,8.8,7.1,5.2,9.5,7.0,19.2,62.3,122.99,1
821,6.4,6.2,10.1,5.7,2.1,8.4,13.7,8.9,8.9,5.8,5.0,8.0,7.1,12.9,56.77,109.17,0
867,6.3,4.7,8.3,4.7,1.3,8.7,12.7,8.3,8.1,4.5,4.1,6.8,6.3,10.9,48.79,95.88,0
665,9.1,5.2,10.5,7.1,2.0,8.8,13.4,8.9,9.5,5.8,5.0,9.8,6.4,11.6,62.68,113.0,0
159,8.2,5.6,10.0,6.0,2.2,10.1,13.9,8.7,9.0,6.0,5.5,8.8,6.9,17.4,60.65,118.4,0
103,9.4,5.9,10.0,6.7,2.3,10.2,15.0,9.8,9.7,7.8,4.8,9.9,6.2,19.4,65.93,127.21,1
666,6.9,4.3,9.3,4.6,1.6,9.1,13.2,8.5,8.7,5.1,4.3,7.8,6.7,12.7,52.89,102.79,0
774,6.9,4.7,8.5,5.0,1.4,8.4,13.2,8.5,8.4,5.1,4.4,7.3,6.2,11.9,51.68,99.75,0
134,7.9,5.7,9.9,5.3,1.8,8.9,16.1,8.7,8.3,5.0,4.9,8.8,6.7,15.3,59.58,113.18,0
279,6.8,5.6,10.3,6.4,1.6,9.5,15.4,9.0,9.2,6.2,4.9,7.5,6.5,14.0,59.07,112.86,0
139,6.9,5.5,9.8,5.8,1.8,9.0,15.1,8.6,8.4,6.0,4.7,7.5,6.5,10.4,57.41,105.74,0
747,9.9,5.2,10.4,6.2,2.9,11.7,18.6,8.5,9.0,4.6,5.2,8.8,6.3,15.6,66.6,122.96,1
86,8.8,6.7,10.1,5.2,2.9,9.6,14.3,9.3,9.6,6.5,5.7,10.5,6.5,17.1,63.8,122.49,1
31,7.3,6.1,10.3,6.3,1.8,9.5,16.2,8.8,8.8,5.6,5.1,7.4,7.1,15.7,60.08,116.05,0
973,7.3,6.0,8.9,5.8,1.7,9.7,14.3,8.9,8.8,4.3,4.8,8.3,6.8,13.2,55.32,108.82,0
839,6.6,5.0,8.9,4.9,1.4,9.1,13.6,8.6,8.7,5.3,4.9,7.4,6.6,13.2,53.07,104.3,0
237,7.0,5.1,9.4,4.9,1.6,9.1,14.2,8.7,8.6,4.7,4.4,7.0,6.3,11.6,53.27,102.62,0
553,6.4,4.4,8.9,4.7,1.2,8.5,13.7,8.4,8.4,4.8,4.3,7.2,6.4,12.0,51.22,99.44,0
770,8.1,7.0,8.9,5.3,2.6,9.3,15.3,8.8,9.2,6.3,5.4,8.6,6.5,11.3,60.5,112.64,0
871,8.5,4.7,10.4,5.8,2.0,10.4,16.9,8.5,9.0,6.7,5.0,8.2,7.2,16.1,63.41,119.26,0
947,8.9,5.2,11.4,6.1,2.0,10.6,15.0,9.6,9.5,7.5,4.3,10.7,7.7,17.8,65.85,126.3,1
909,8.1,6.9,10.2,7.0,1.4,10.9,14.7,8.5,9.5,5.0,5.5,8.8,7.1,16.8,60.76,120.42,1
305,7.6,5.5,8.9,5.6,1.5,8.9,13.4,8.9,8.9,6.2,4.9,8.8,6.9,14.1,56.88,110.13,0
505,7.5,6.2,10.3,6.1,1.8,9.8,16.6,9.3,8.8,4.7,5.2,8.6,7.1,14.2,60.85,116.21,0
992,8.6,6.7,8.7,6.4,2.4,10.1,17.0,9.2,8.9,6.4,5.3,9.4,7.1,15.9,64.2,122.13,1
559,7.1,4.3,8.7,4.9,1.5,8.9,13.3,8.6,8.4,4.4,4.7,7.0,6.5,11.7,51.62,99.98,0
620,6.5,5.4,9.7,5.2,1.1,9.6,15.1,8.7,8.9,4.5,4.5,7.6,6.4,13.5,54.3,106.78,0
286,9.3,5.0,10.7,7.3,2.6,11.4,18.1,9.4,9.4,5.6,5.1,9.8,7.8,11.9,68.5,123.48,1
942,8.1,5.2,10.1,5.2,1.4,9.9,14.0,9.0,8.9,5.3,5.1,8.9,7.1,11.3,58.15,109.6,0
856,9.1,6.1,10.9,5.7,2.2,9.7,17.3,9.6,8.2,5.6,5.3,7.7,6.8,17.3,63.72,121.46,1
148,9.5,6.6,10.2,7.6,1.8,10.0,14.9,9.6,8.3,6.2,4.8,10.4,6.9,18.4,65.3,125.08,1
7,6.7,4.5,8.8,5.1,1.3,9.4,14.2,8.6,8.5,5.3,4.1,7.8,6.3,12.9,53.34,103.51,0
894,6.7,5.3,9.7,5.7,2.8,11.1,19.2,8.9,9.7,5.3,4.8,10.7,7.7,19.6,64.77,127.06,1
593,7.8,6.6,10.7,6.5,2.4,8.4,16.8,9.1,8.5,5.8,5.1,10.6,6.5,16.7,65.65,121.39,1
71,8.3,7.3,10.3,7.4,2.7,11.3,18.4,9.1,8.6,6.3,5.4,9.1,7.3,14.2,67.9,125.56,1
603,8.5,6.0,11.0,7.1,2.4,10.4,16.1,9.0,8.8,5.7,4.8,9.4,7.6,16.6,65.05,123.54,1
760,8.7,4.5,9.2,6.2,2.1,9.3,17.5,9.0,9.1,5.5,4.4,7.8,6.7,14.0,61.26,113.88,0
610,7.9,6.0,10.8,5.4,2.1,9.9,17.7,9.2,8.8,6.5,5.3,9.5,6.7,12.3,65.2,118.12,0
957,9.2,6.1,10.9,6.1,2.7,11.4,13.3,8.6,9.8,6.8,4.3,10.8,7.7,10.7,64.15,118.53,0
982,8.9,6.7,10.7,6.4,2.3,11.0,16.8,9.2,8.6,6.5,5.3,9.8,7.3,17.6,66.71,126.93,1
221,7.3,5.5,9.6,5.0,1.5,8.9,14.2,8.7,8.4,4.5,4.9,6.4,6.9,12.9,53.23,104.56,0
779,6.4,5.0,8.3,4.7,1.5,8.2,14.2,8.4,8.5,5.0,4.5,7.0,6.3,12.7,51.68,100.91,0
972,8.8,6.5,9.5,6.8,2.3,8.8,14.2,8.5,9.2,6.4,4.7,10.2,7.2,12.9,62.93,116.09,0
259,6.9,5.9,9.8,6.4,2.3,10.1,17.1,9.1,8.2,6.6,5.2,7.5,7.3,13.8,61.79,116.22,0
677,8.7,5.8,10.3,6.9,2.0,10.6,17.8,8.1,8.5,6.1,5.2,6.1,6.7,16.4,63.19,119.35,0
847,6.3,4.4,8.4,4.6,1.2,8.6,13.2,8.2,8.3,4.4,4.3,6.6,6.2,10.0,48.87,94.67,0
618,7.0,5.3,8.9,4.9,1.4,8.7,13.9,8.5,8.7,5.0,4.5,6.6,6.6,11.4,52.21,101.34,0
724,6.7,5.2,9.0,5.2,1.7,8.7,13.3,8.1,8.7,4.6,4.5,7.3,6.4,12.5,52.2,101.68,0
798,9.5,7.0,11.7,6.7,2.8,9.7,17.9,9.5,9.8,5.3,5.7,11.1,6.3,12.8,70.88,126.03,1
951,7.8,5.3,9.3,5.8,1.4,9.3,15.8,8.6,8.9,5.1,4.5,8.9,6.6,14.7,58.62,112.21,0
473,8.4,6.0,9.7,5.8,2.4,11.2,13.3,9.0,9.4,7.3,5.3,10.3,6.4,13.9,62.45,118.37,0
751,8.8,4.8,10.6,6.7,1.5,9.5,15.4,9.3,8.7,6.5,4.9,7.8,6.8,16.0,62.09,117.18,0
846,8.4,6.4,10.6,6.7,2.3,10.1,13.5,8.7,8.7,5.8,5.1,7.7,7.2,14.3,60.06,115.4,0
452,8.1,4.2,9.3,5.6,1.5,9.6,17.7,9.4,9.0,5.9,5.4,7.6,6.3,15.1,60.96,114.71,0
582,6.9,4.7,8.8,4.6,1.4,8.4,13.1,8.3,8.5,4.3,4.6,6.8,6.5,12.1,50.34,99.02,0
314,7.6,5.3,9.9,5.6,1.8,9.0,13.7,9.0,8.5,5.6,4.7,8.6,6.7,11.7,57.42,107.57,0
162,7.1,5.2,8.4,4.6,1.2,8.7,14.0,8.5,8.6,5.1,4.3,7.6,6.5,12.5,52.18,102.26,0
875,8.0,7.4,9.4,4.8,1.6,10.8,14.7,9.6,9.6,7.1,5.7,9.4,6.5,18.5,60.8,123.15,1
988,8.0,6.9,9.5,6.5,2.3,11.3,17.6,9.7,9.1,6.1,5.7,7.5,7.2,18.1,63.27,125.62,1
439,7.3,5.6,9.0,5.4,1.5,9.8,14.8,8.6,8.8,6.0,4.9,8.1,6.8,12.7,56.98,109.26,0
99,6.8,5.5,10.2,5.9,2.2,9.0,14.6,9.4,8.9,5.3,4.9,8.8,7.3,16.3,58.47,114.82,0
301,6.5,5.5,9.3,5.5,1.7,9.0,14.2,8.6,8.8,5.5,4.7,8.1,6.6,14.1,55.55,108.25,0
294,9.1,6.8,10.8,7.5,2.9,11.6,17.3,8.8,9.7,6.6,5.9,10.9,7.7,13.4,71.12,129.18,1
105,8.2,5.2,9.5,6.3,2.1,10.8,16.8,9.2,9.8,5.3,5.0,11.4,7.5,19.0,64.56,126.19,1
404,8.2,5.6,8.9,6.0,1.9,10.2,13.9,9.3,9.1,6.4,5.1,9.6,7.0,16.3,60.06,117.46,0
767,6.7,4.9,9.0,4.8,1.5,8.9,12.9,8.5,8.1,5.0,4.2,6.8,6.2,10.4,50.85,97.78,0
160,9.3,6.2,8.8,6.3,2.6,10.7,18.3,9.4,9.6,7.0,5.4,8.1,7.3,10.7,65.85,119.69,0
225,8.1,6.2,10.1,6.1,2.1,10.7,16.8,8.5,8.3,5.0,5.4,9.4,7.2,12.6,62.91,116.39,0
963,6.9,5.7,9.7,4.8,1.9,9.1,13.7,8.4,9.2,6.4,4.8,9.2,7.1,14.9,57.41,111.88,0
723,8.7,4.9,9.3,6.6,2.0,10.5,16.6,9.3,8.9,6.8,4.8,9.2,7.3,14.4,63.86,119.08,0
143,7.2,6.7,9.0,4.8,1.7,9.2,16.0,9.3,9.3,6.9,5.1,10.2,6.3,15.6,60.87,117.2,0
102,8.5,5.0,9.0,5.0,1.4,8.7,14.5,9.3,8.7,6.3,4.3,10.4,6.9,17.5,59.43,115.57,0
933,7.5,5.7,10.5,7.7,2.4,10.8,16.6,8.5,9.4,6.9,4.2,11.7,7.4,18.4,67.46,127.57,1
521,7.8,7.1,10.2,6.9,2.5,9.0,15.8,9.6,9.6,5.5,4.9,10.6,7.4,13.3,64.23,120.17,1
297,6.7,5.2,9.0,4.5,1.4,8.7,14.0,8.2,8.5,4.9,4.6,7.8,6.6,11.6,52.95,101.7,0
541,6.5,5.1,8.6,4.8,1.6,9.4,13.6,8.6,8.6,5.3,4.6,8.1,6.3,11.0,53.11,102.15,0
349,6.5,4.9,8.3,4.5,1.7,9.2,14.7,8.5,8.3,5.1,4.8,8.1,6.1,11.1,53.62,101.69,0
23,6.6,4.8,9.4,5.4,1.6,8.8,14.2,8.3,8.5,5.4,4.5,8.2,6.6,12.8,55.39,105.22,0
